Date;Open;High;Low;Close;Volume;Market Cap
6-Jan-18;9.37;9.42;6.8;7.47;62,767,000;180,929,000
5-Jan-18;11.4;11.49;8.77;9.37;25,036,800;220,004,000
4-Jan-18;9.68;11.43;8.72;11.01;28,672,600;186,905,000
3-Jan-18;9.66;10.11;8.82;9.64;19,728,200;186,398,000
2-Jan-18;9.44;10.43;8.69;9.61;24,404,100;182,189,000
1-Jan-18;8.1;9.98;7.5;9.54;20,982,800;156,243,000
31-Dec-17;6.83;8.57;6.74;8.07;11,030,800;131,788,000
30-Dec-17;8.05;8.06;6.37;6.87;7,729,460;155,388,000
29-Dec-17;7.49;8.38;7.31;8.03;10,873,300;144,561,000
28-Dec-17;8.17;8.21;6.66;7.41;10,040,900;157,595,000
27-Dec-17;8.68;8.69;7.84;8.24;10,456,800;167,441,000
26-Dec-17;8.7;9.26;7.9;8.77;19,326,900;167,881,000
25-Dec-17;8.32;9.66;7.65;8.72;23,686,700;160,495,000
24-Dec-17;8.6;8.6;6.98;8.27;17,492,100;165,986,000
23-Dec-17;8.01;9.64;7.55;8.6;19,318,300;154,579,000
22-Dec-17;11.29;11.84;5.66;7.83;22,833,900;217,945,000
21-Dec-17;9.17;12.37;8.95;11.24;41,977,500;177,005,000
20-Dec-17;9.59;9.64;8.13;9.2;21,047,200;185,171,000
19-Dec-17;10.54;10.92;8.92;9.66;17,094,700;203,501,000
18-Dec-17;8.49;10.93;8.45;10.49;24,447,600;163,912,000
17-Dec-17;6.79;8.51;6.72;8.17;21,546,800;131,082,000
16-Dec-17;6.21;7.31;6.17;6.79;26,764,600;119,921,000
15-Dec-17;6.11;6.38;5.49;6.21;18,101,700;117,935,000
14-Dec-17;5.93;6.55;5.91;6.1;13,956,600;114,548,000
13-Dec-17;6.07;6.21;5.46;5.8;15,853,600;117,123,000
12-Dec-17;5.36;6.22;5.27;6.1;18,027,600;103,492,000
11-Dec-17;4.64;5.62;4.64;5.37;12,626,300;89,522,400
10-Dec-17;5.31;5.56;4.35;4.67;7,372,320;102,435,000
9-Dec-17;5.42;6.09;5.19;5.28;7,329,980;104,621,000
8-Dec-17;5.22;5.44;4.49;5.44;8,719,540;100,691,000
